geolocation_id,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
A1,1037,-23.54562128,-46.63929205,sao paulo,SP
A2,1046,-23.54608113,-46.6448203,sao paulo,SP
A3,1046,-23.54612897,-46.64295148,sao paulo,SP
A4,1041,-23.54439216,-46.63949931,sao paulo,SP
A5,1035,-23.54157796,-46.64160722,sao paulo,SP
A6,1012,-23.5477623,-46.63536054,são paulo,SP
A7,1047,-23.54627311,-46.64122517,sao paulo,SP
A8,1013,-23.54692321,-46.6342637,sao paulo,SP
A9,1029,-23.54376906,-46.63427784,sao paulo,SP
A10,1011,-23.54763955,-46.63603162,sao paulo,SP
A11,1013,-23.54732513,-46.63418379,sao paulo,SP
A12,1032,-23.5384181,-46.63477838,sao paulo,SP
A13,1014,-23.54643534,-46.63383023,sao paulo,SP
A14,1012,-23.54894599,-46.63467113,sao paulo,SP
A15,1037,-23.54518734,-46.63785524,são paulo,SP
A16,1046,-23.54608113,-46.6448203,sao paulo,SP
A17,1039,-23.54188301,-46.63991947,sao paulo,SP
A18,1024,-23.54138952,-46.62989909,são paulo,SP
A19,1009,-23.5469354,-46.63658793,sao paulo,SP
A20,1046,-23.54588428,-46.64316319,sao paulo,SP
A21,1046,-23.54516589,-46.6437858,sao paulo,SP
A22,1020,-23.55223547,-46.62844066,são paulo,SP
A23,1011,-23.54669049,-46.63544696,são paulo,SP
A24,1043,-23.54665672,-46.64078762,são paulo,SP
A25,1050,-23.54977352,-46.64559901,sao paulo,SP
A26,1045,-23.54159376,-46.64189379,sao paulo,SP
A27,1009,-23.54542953,-46.63571531,sao paulo,SP
A28,1007,-23.55039252,-46.63730164,sao paulo,SP
A29,1032,-23.53984188,-46.63514798,são paulo,SP
A30,1041,-23.54353945,-46.64057731,sao paulo,SP
A31,1005,-23.54981909,-46.63560589,sao paulo,SP
A32,1037,-23.5467046,-46.64033633,são paulo,SP
A33,1017,-23.55001091,-46.63116637,são paulo,SP
A34,1046,-23.54532012,-46.64406863,sao paulo,SP
A35,1019,-23.55215188,-46.63080225,sao paulo,SP
A36,1032,-23.54077469,-46.63551484,sao paulo,SP
A37,1017,-23.54929541,-46.6320747,sao paulo,SP
A38,1050,-23.54900941,-46.64281228,sao paulo,SP
A39,1050,-23.54875559,-46.6427892,sao paulo,SP
A40,1027,-23.53830117,-46.63076391,sao paulo,SP
A41,1050,-23.54985418,-46.6431394,sao paulo,SP
A42,1013,-23.54711925,-46.6342327,sao paulo,SP
A43,1033,-23.5403213,-46.63639482,sao paulo,SP
A44,1009,-23.54569154,-46.63586606,sao paulo,SP
A45,1046,-23.54608113,-46.6448203,sao paulo,SP
