geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.54562128,-46.63929205,sao paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1046,-23.54612897,-46.64295148,sao paulo,SP
1041,-23.54439216,-46.63949931,sao paulo,SP
1035,-23.54157796,-46.64160722,sao paulo,SP
1012,-23.5477623,-46.63536054,são paulo,SP
1047,-23.54627311,-46.64122517,sao paulo,SP
1013,-23.54692321,-46.6342637,sao paulo,SP
1029,-23.54376906,-46.63427784,sao paulo,SP
1011,-23.54763955,-46.63603162,sao paulo,SP
1013,-23.54732513,-46.63418379,sao paulo,SP
1032,-23.5384181,-46.63477838,sao paulo,SP
1014,-23.54643534,-46.63383023,sao paulo,SP
1012,-23.54894599,-46.63467113,sao paulo,SP
1037,-23.54518734,-46.63785524,são paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1039,-23.54188301,-46.63991947,sao paulo,SP
1024,-23.54138952,-46.62989909,são paulo,SP
1009,-23.5469354,-46.63658793,sao paulo,SP
1046,-23.54588428,-46.64316319,sao paulo,SP
1046,-23.54516589,-46.6437858,sao paulo,SP
1020,-23.55223547,-46.62844066,são paulo,SP
1011,-23.54669049,-46.63544696,são paulo,SP
1043,-23.54665672,-46.64078762,são paulo,SP
1050,-23.54977352,-46.64559901,sao paulo,SP
1045,-23.54159376,-46.64189379,sao paulo,SP
1009,-23.54542953,-46.63571531,sao paulo,SP
1007,-23.55039252,-46.63730164,sao paulo,SP
1032,-23.53984188,-46.63514798,são paulo,SP
1041,-23.54353945,-46.64057731,sao paulo,SP
1005,-23.54981909,-46.63560589,sao paulo,SP
1037,-23.5467046,-46.64033633,são paulo,SP
1017,-23.55001091,-46.63116637,são paulo,SP
1046,-23.54532012,-46.64406863,sao paulo,SP
1019,-23.55215188,-46.63080225,sao paulo,SP
1032,-23.54077469,-46.63551484,sao paulo,SP
1017,-23.54929541,-46.6320747,sao paulo,SP
1050,-23.54900941,-46.64281228,sao paulo,SP
1050,-23.54875559,-46.6427892,sao paulo,SP
1027,-23.53830117,-46.63076391,sao paulo,SP
1050,-23.54985418,-46.6431394,sao paulo,SP
1013,-23.54711925,-46.6342327,sao paulo,SP
1033,-23.5403213,-46.63639482,sao paulo,SP
1009,-23.54569154,-46.63586606,sao paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1050,-23.54874766,-46.64239137,sao paulo,SP
1032,-23.54119148,-46.63499346,sao paulo,SP
1020,-23.5525495,-46.63163153,sao paulo,SP
1006,-23.55052431,-46.63669364,sao paulo,SP
1034,-23.54239163,-46.63770928,sao paulo,SP
1020,-23.55248245,-46.62938956,sao paulo,SP
1047,-23.54660532,-46.64198217,sao paulo,SP
1042,-23.5448736,-46.64030309,sao paulo,SP
1034,-23.54290892,-46.63679725,sao paulo,SP
1047,-23.54599882,-46.64083474,sao paulo,SP
1035,-23.54020456,-46.64414706,sao paulo,SP
1027,-23.53867033,-46.62934557,sao paulo,SP
1046,-23.54638197,-46.64289371,são paulo,SP
1042,-23.54505165,-46.64007245,sao paulo,SP
1040,-23.54031676,-46.63735537,sao paulo,SP
1046,-23.54639669,-46.64305934,sao paulo,SP
1017,-23.54981335,-46.63035027,sao paulo,SP
1026,-23.5394948,-46.63284391,são paulo,SP
1033,-23.53914718,-46.63583236,sao paulo,SP
1036,-23.54170002,-46.64131782,sao paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1009,-23.5469354,-46.63658793,sao paulo,SP
